ID,Date,Interviewer,Transect,Access,BoatAccess,Meta.x,Meta.y,ActivityDate,FishingType,BaitType,TimeInEx,TimeOutEx,MedTimeEx,DecMedTimeEx,MaxDepthEx,KeptUndam,ReleasedUndam,TotalUndam,DP,TotalHooked,PerDP,ProDP
229,10/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,10/10/2015,Bottom-bashing (drifting),Squid,09:00,16:15,12:37,12.62,100,NA,NA,15,2,17,11.76470588,0.117647059
230,11/10/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,11/10/2015,Bottom-bashing (anchored),Squid,08:30,13:15,10:52,10.87,20,NA,NA,32,0,32,0,0
231,11/10/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,11/10/2015,Bottom-bashing (drifting),Artificial plastic lure,06:00,13:15,09:37,9.62,15,NA,NA,30,2,32,6.25,0.0625
232,11/10/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,11/10/2015,Bottom-bashing (drifting),Squid,13:30,14:30,14:00,14,50,NA,NA,8,4,12,33.33333333,0.333333333
233,11/10/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,11/10/2015,Bottom-bashing (drifting),Squid,08:00,10:00,09:00,9,10,NA,NA,7,0,7,0,0
234,06/04/2016,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,06/04/2016,Bottom-bashing (anchored),Mulie,11:30,12:30,12:00,12,10,NA,NA,3,0,3,0,0
235,06/04/2016,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,06/04/2016,Bottom-bashing (drifting),Squid,10:30,12:30,11:30,11.5,30,NA,NA,12,0,12,0,0
236,06/04/2016,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,06/04/2016,Bottom-bashing (drifting),Squid,11:30,13:30,12:30,12.5,100,NA,NA,0,1,1,100,1
237,06/04/2016,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,06/04/2016,Bottom-bashing (drifting),Mulie,09:00,13:30,11:15,11.25,10,NA,NA,12,0,12,0,0
238,06/04/2016,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,06/04/2016,Bottom-bashing (drifting),Squid,08:30,11:30,10:00,10,45,NA,NA,40,1,41,2.43902439,0.024390244
239,06/04/2016,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,06/04/2016,Trolling,Artificial plastic lure,11:30,13:30,12:30,12.5,5,NA,NA,2,0,2,0,0
240,06/04/2016,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,06/04/2016,Trolling,Artificial plastic lure,12:00,15:30,13:45,13.75,5,NA,NA,2,0,2,0,0
241,06/04/2016,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,06/04/2016,Bottom-bashing (drifting),Mullet,12:30,15:30,14:00,14,20,NA,NA,12,0,12,0,0
242,06/04/2016,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,06/04/2016,Bottom-bashing (drifting),Squid,09:00,16:00,12:30,12.5,60,NA,NA,15,15,30,50,0.5
243,06/04/2016,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,06/04/2016,Bottom-bashing (drifting),Squid,12:00,16:00,14:00,14,100,NA,NA,5,6,11,54.54545455,0.545454545
