exGUID,# Is this a boat based or shore based activity?,"If RECALL, what date did they go fishing?",What type of fishing did you do?,Did you use bait or lure?,What time did you START fishing at this site?,What time did you STOP fishing at this site?,What was your maximum hook depth (m) at this site?,Number of fish kept undamaged at this site?,How many fish did you release at this site?,How many shark bite offs did you get at this site?,What species of fish did you keep? ,Why did you leave this site?,Did anything detract from your experience at this site?,"If of Aboriginal or Torres Strait Islander origin, was this activity undertaken for a customary purpose?",Comments,GlobalID,created_user,created_date,last_edited_user,last_edited_date,x,y
be852477-4363-48dd-80b7-76a0eef0e495,Boat,,Casting,Bait,11:30,13:30,12,0,4,0,,EndOfDay,No,No,,e24853ad-0560-4307-a14b-9b2d206a3f4b,Nicole.Hamre_UWA,4/16/2022 5:40:42 AM,Nicole.Hamre_UWA,4/16/2022 5:40:42 AM,121.9016166,-33.86466865
aa682fcc-3076-4ffb-8be7-7534ce7731a5,Boat,,Demersal,Bait,9:00,12:00,45,7,0,0,"1 nanny, 1 snook, 4 herring, 1 queenie",EndOfDay,No,No,,e1ec7c66-99a0-4958-82d4-331b6dbf0531,Nicole.Hamre_UWA,4/16/2022 5:50:18 AM,Nicole.Hamre_UWA,4/16/2022 5:50:18 AM,121.8023707,-33.92167254
f052074a-fecd-44fc-a9b3-1617f00d241c,Boat,,Trolling,Lure,11:30,14:30,0,1,0,0,Squid,EndOfDay,No,No,,88ba624d-9621-48b0-974b-28b4fc3f15a1,Nicole.Hamre_UWA,4/16/2022 6:46:21 AM,Nicole.Hamre_UWA,4/16/2022 6:46:21 AM,121.9044427,-33.85889606
a8d58630-664b-494c-a53c-7b8b724bb7ea,Boat,,Squidding,Lure,12:30,13:30,23,1,6,0,Breaksea cod,ActivityChange,No,No,,5290f258-02c1-4aec-a649-7d3145f578eb,Nicole.Hamre_UWA,4/16/2022 7:07:33 AM,Nicole.Hamre_UWA,4/16/2022 7:07:33 AM,121.8981212,-33.91700671
a8d58630-664b-494c-a53c-7b8b724bb7ea,Boat,4/15/2022 7:32:21 AM,Demersal,Bait,7:00,13:00,85,33,12,0,"23 Nanny’s, 1 gummy, 1 pink, 4 breaksea, 4 queen,",EndOfDay,No,No,,f13e02a4-be42-4b34-921f-6289408bf774,Nicole.Hamre_UWA,4/16/2022 7:10:09 AM,Nicole.Hamre_UWA,4/16/2022 7:32:24 AM,121.3673185,-34.05094509
ad39df5e-3eda-483b-9f50-769e076d4278,Boat,4/17/2022 12:46:13 AM,Demersal,Bait,8:00,15:00,50,10,2,0,"Nanny, break sea cod, queen snapper, harlequin, swallowtail ",EndOfDay,BadConditions,,,2010ac59-4df7-428e-a7b9-4cf0b06ec7ce,Nicole.Hamre_UWA,4/18/2022 12:48:59 AM,Nicole.Hamre_UWA,4/18/2022 12:48:59 AM,122.0122977,-33.95749248
ad39df5e-3eda-483b-9f50-769e076d4278,Boat,,Trolling,Lure,15:00,16:00,3,1,0,0,"Tuna blue fin, ",EndOfDay,No,,,129421d8-2b71-4360-87d1-e079cf546e7b,Nicole.Hamre_UWA,4/18/2022 12:50:08 AM,Nicole.Hamre_UWA,4/18/2022 12:50:08 AM,122.0103,-33.96841359
77816a8e-32d5-4051-b88f-8ea83a9b0827,Boat,,Casting,Lure,6:30,9:00,12,2,0,0,Squid,ActivityChange,Expectations,,,3eb12390-249d-4155-a205-b1bb11f21156,Nicole.Hamre_UWA,4/18/2022 1:19:56 AM,Nicole.Hamre_UWA,4/18/2022 1:19:56 AM,121.9089561,-33.86095079
6a0ea7b0-1740-45f7-8476-321a15319828,Boat,,Casting,Lure,8:00,9:45,12,3,1,0,herring ,Weather,BadConditions,,,0056334b-af70-4f2d-9fd2-f34f18e5298f,Nicole.Hamre_UWA,4/18/2022 2:11:27 AM,Nicole.Hamre_UWA,4/18/2022 2:11:27 AM,121.9029429,-33.91855494
ea8fb10b-ca3b-41ff-b40b-8a4176f98ef3,Boat,,Demersal,Bait,7:30,10:45,60,5,3,0,"Black ass, fox fish, nanny , flat head ",Weather,BadConditions,,,7097522e-ef80-4a3d-a52e-c0ed00867065,Nicole.Hamre_UWA,4/18/2022 3:22:06 AM,Nicole.Hamre_UWA,4/18/2022 3:22:06 AM,121.7909379,-33.90982997
