OBJECTID,GlobalID,GUID for meta,# Interviewer,# Site,Screen: 18+,Screen: Have you been surveyed in the last 2 weeks?,Agreement to participate,"Are you/have you been a resident, got a holiday home here or been here over 3 months?","If here for less than 3 months, how many DAYS will you be in the area in total on this trip?","While you are on your trip, do you have access to a motorised boat/jetski (private/rental)?","If YES, how many DAYS out of your trip will you be going out on a boat in total? ",How many DAYS of your trip will you be doing coastal shore based activities in total? ,"Excluding this trip, how many times have you been to the area in the last 12 month?",created_user,created_date,last_edited_user,last_edited_date,Are you of Aboriginal or Torres Strait Islander origin?,Do you identify as a TO in this region?,x,y
54,d3f8d55d-3738-4225-9b21-28e068eff9f6,,NSH,BandyCreekBR,Yes,No,Yes,No,7,Yes,1,7,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931468412,-33.8335264218367
55,62e5375b-d061-479f-b581-3c73fd465483,,NSH,BandyCreekBR,Yes,No,Yes,No,14,Yes,5,7,1,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931259126099,-33.833156548585
56,e69fb4ce-15f4-42df-b15f-104d24e102fd,,NSH,DukeOrleans,Yes,No,Yes,Yes,5,Yes,2,All,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,122.579708316673,-33.924502762545
57,58875847-f392-4ccb-a35c-d050a4772a99,,NSH,DukeOrleans,Yes,No,Yes,Yes,30,Yes,4,All,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,122.579729229452,-33.9245202212643
58,ef1ba608-26c6-4519-9b90-222d46b3b213,,EH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.893906541476,-33.8686086398349
59,f21004a8-9ac1-425c-8308-53ec87c6c32f,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931698261237,-33.833279122504
60,5c2e3e5a-7b08-4921-ade2-26f61ccc51fe,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.930976277158,-33.8336476490942
61,f3880ed3-a4ea-4797-ac02-1f119ce18fab,,EH,BandyCreekBR,Yes,No,Yes,No,2,Yes,1,1,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931383601156,-33.8337281229271
62,2ed390d3-7607-4408-a22e-6c04c6ddcfa2,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931120374117,-33.83399962884
63,92645370-848a-4e6d-a542-2393e7ef0a34,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.930876097038,-33.8337412454542
