OBJECTID,GlobalID,aGUID,How many days have you fished in the last 12 months?,How many years have you been fishing for?,"Are you a scuba diver? If so, what is your certification?","If SCUBA DIVER, how many dives have you done?",What year were you born?,What is your postcode?,"If VISITOR, where are you staying?",# Female or Male,# Number of females in party (excluding participant),# Number of males in party (excluding participant),# Number of girls in party,# Number of boys in party,# Boat Length (m),# Boat number,Comments,created_date,created_user,last_edited_date,last_edited_user
74,00000000-0000-0000-0000-000000000000,BBA0A9BD-5D4D-4E86-BC35-7AC22F1C0EC8,52,20,OW,400,1989,6450,Esperance,Male,,,,,4,Ey540,,17/2/22 2:15,Nicole.Hamre_UWA,17/2/22 2:15,Nicole.Hamre_UWA
75,00000000-0000-0000-0000-000000000000,1ADCB2A0-ECB1-47DF-B8D0-A777E6DE2176,10,30,None,,1982,6450,Esperance,Male,,1,,,5,201,,17/2/22 2:21,Nicole.Hamre_UWA,17/2/22 2:21,Nicole.Hamre_UWA
76,00000000-0000-0000-0000-000000000000,04176D5C-585D-4A82-A942-F3C8DDDF0890,24,15,None,,1990,6164,Esperance,Male,1,,,,3,Gq675,,17/2/22 2:32,Nicole.Hamre_UWA,17/2/22 2:32,Nicole.Hamre_UWA
77,00000000-0000-0000-0000-000000000000,E5379B65-1D61-4294-985A-65399A766C26,20,8,None,,1964,6450,Esperance,Female,,,,,5,Bu962,,17/2/22 3:49,Nicole.Hamre_UWA,17/2/22 3:49,Nicole.Hamre_UWA
78,00000000-0000-0000-0000-000000000000,FA64A3E7-2973-4381-914D-FCDFFE228AB8,55,20,None,,1999,6450,Esperance,Female,,1,,,3,Ab405,,17/2/22 3:55,Nicole.Hamre_UWA,17/2/22 3:55,Nicole.Hamre_UWA
79,00000000-0000-0000-0000-000000000000,A1317A62-1007-43E4-B57B-6F082494E665,20,41,None,,1974,6450,Esperance,Male,2,1,,,6,Gs158,,17/2/22 4:51,Nicole.Hamre_UWA,17/2/22 4:51,Nicole.Hamre_UWA
80,00000000-0000-0000-0000-000000000000,2242E510-EB13-4C0E-9000-9656A79AD96C,30,28,None,,1990,6343,Esperance,Male,1,,,,4,Du287,,17/2/22 5:16,Nicole.Hamre_UWA,17/2/22 5:22,Nicole.Hamre_UWA
81,00000000-0000-0000-0000-000000000000,00EBD7D6-C03F-43AA-AE64-1FE5AB20FCFF,12,6,OW,20,2001,6450,Esperance,Male,,1,,,4,Catcher (small writing),,18/2/22 1:42,Nicole.Hamre_UWA,18/2/22 1:47,Nicole.Hamre_UWA
82,00000000-0000-0000-0000-000000000000,A275649F-2910-4FA3-ABD1-778727AC2EFC,100,35,None,,1971,6450,Esperance,Male,,1,,,6,Gs185,,18/2/22 3:16,Nicole.Hamre_UWA,18/2/22 3:16,Nicole.Hamre_UWA
83,00000000-0000-0000-0000-000000000000,CAFAB483-D30B-4A36-8873-84384ED691C1,24,15,None,,1975,6450,Esperance,Female,1,1,,,9,Gn707,,18/2/22 4:51,Nicole.Hamre_UWA,18/2/22 4:51,Nicole.Hamre_UWA
84,00000000-0000-0000-0000-000000000000,0C7D9C06-FCE7-4549-BB10-B5C7D625891B,6,30,OW,39,1978,0,Esperance,Female,0,2,0,2,2,EP001,,19/2/22 1:40,Nicole.Hamre_UWA,19/2/22 1:40,Nicole.Hamre_UWA
85,00000000-0000-0000-0000-000000000000,51DFA3F7-82DF-41CF-A0F8-1AA93FFD6A6C,0,0,None,,1981,6430,Esperance,Female,1,1,1,0,2,,JetSki training,19/2/22 1:57,Nicole.Hamre_UWA,19/2/22 1:57,Nicole.Hamre_UWA
86,00000000-0000-0000-0000-000000000000,E8769595-A7CF-4616-B37C-FCEB5542F34A,5,40,None,0,1956,0,Esperance,Female,0,1,1,0,4,DM815,,19/2/22 2:35,Nicole.Hamre_UWA,19/2/22 2:35,Nicole.Hamre_UWA
87,00000000-0000-0000-0000-000000000000,4DA40B00-6CD5-4896-AEA9-AE5DD656ECDC,20,20,None,0,1988,0,Esperance,Male,0,0,0,1,3,69823,,19/2/22 2:46,Nicole.Hamre_UWA,19/2/22 2:46,Nicole.Hamre_UWA
88,00000000-0000-0000-0000-000000000000,4C37ABE2-3FBD-4ED5-BBA2-F35CFF58BB67,10,4,None,0,2000,0,Esperance,Male,1,1,0,0,2,Gj673,Jet ski,19/2/22 2:57,Nicole.Hamre_UWA,19/2/22 2:57,Nicole.Hamre_UWA
89,00000000-0000-0000-0000-000000000000,82356359-03C8-4040-9730-E90CDFB90F38,24,3,None,0,1987,0,Esperance,Female,0,1,0,1,2,EX236,,19/2/22 3:25,Nicole.Hamre_UWA,19/2/22 3:25,Nicole.Hamre_UWA
90,00000000-0000-0000-0000-000000000000,05A82126-6C04-46D6-8C92-AEBBB78F2A8B,20,15,OW,12,1969,6230,Esperance,Male,0,1,0,,3,A3O10,,19/2/22 3:31,Nicole.Hamre_UWA,19/2/22 3:39,Nicole.Hamre_UWA
91,00000000-0000-0000-0000-000000000000,E2C71F7C-ED3B-4B6C-A4DD-23495340D369,1,11,None,0,2002,0,Esperance,Male,0,2,0,0,4,EB752,,19/2/22 4:13,Nicole.Hamre_UWA,19/2/22 4:13,Nicole.Hamre_UWA
92,00000000-0000-0000-0000-000000000000,03725EB2-3931-4F63-AA4F-7B85B962B03E,20,35,None,0,1974,0,Esperance,Male,0,1,0,1,4,BS603,Wearing EDSAC top,19/2/22 4:40,Nicole.Hamre_UWA,19/2/22 4:40,Nicole.Hamre_UWA
93,00000000-0000-0000-0000-000000000000,8E74FB7B-1697-45FF-99E2-A74617EA22CE,20,60,None,0,1947,0,Esperance,Male,0,3,0,0,8,DV847,,19/2/22 5:31,Nicole.Hamre_UWA,19/2/22 5:31,Nicole.Hamre_UWA
